Nº;Entidad;APERTURA;Nº EXPTE.;JUZG.;JURISD;DIRECCION;LIQUIDADOR RESPONSABLE
149;Protección Buenos Aires Sociedad Anónima Compañía de Seguros;17/4/2009;09472/09;Comercial 16, Secretaría 32;CABA;Callao 635 E.P.;Dra. María Cristina Ubbriaco
150;La Economía Comercial Sociedad Anónima de Seguros Generales;16/8/2016;66218/09;Comercial 13, Secretaría 26;CABA;M.T. Alvear 1840 4º piso;Cont. Héctor Jorge García
151;Trainmet Seguros S.A.;6/2/2013;30596/12;Comercial 18, Secretaría 35;CABA;M.T. Alvear 1840 3º PISO;Dres. María Mendía y Martín Riera
152;Oversafe Seguros de Retiro S.A.;2/9/2013;20483/13;Comercial Nº 9, Secretaría 18;CABA;M.T. Alvear 1840 4º piso;Dra. Alicia Nilda Sturla
153;Profuturo Compañía de Seguros de Retiro;2/10/2014;27326/14;Comercial 17, Secretaría 33;CABA;M.T. Alvear 1840 3º piso;Dra. Gabriela Inés Trapaglia
154;Unidos Seguros de Retiro S.A.;16/9/2014;733/14;Juzg. 1º Dist. De la 4ª Nom.;Rafaela - Santa Fe;Balcarce 1651;Cont. Edgardo Gustavo Silva
155;Aseguradora de Riesgo de Trabajo Interacción S.A.;29/8/2016;17720/16;Comercial 8, Secretaría 16;CABA;Av. Roque S. Peña 1211 7º PISO;Dr. Domingo Gómez Bisgarra
156;Aseguradora federal Argentina S.A.;5/1/2017;28796/2016;Comercial 14, Secretaria 27;CABA;Callao 635 2º Piso;Dres. María Mendía y Martín Riera
157;ART Liderar S.A.;7/10/2019;24528/2019;Comercial 31, Secretaría 61;Juzgado es Montevideo 546, piso 7º;CABA;Dras. Andrea Rojas y Claudia Pariente
;;;;;;;
